text,label
Расчётные машины СС,1
"Почта. В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в единая почтовая система, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюкову А.В., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, А.В. Волонтырь,",1
Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей ЕПС:,0
"твет на служебную записку В - АУП - 11225/22 от 29.08.2022 сообщаю:. В ответ на служебную записку В - АУП - 11225/22 от 29.08.2022 сообщаю: Ответственные от АХО Зарафутдинова Д.Х., Козеенкова С.Н., Юрцук Н.П., Шаров Д.А.",3
Добрый день! По регистрации в str.mos.ru работников отдела №11 в списках так же отсутствуют: Кадыков А.С.; Козлов П.И.; Дюканов А.И.,3
Списки,3
"Коллеги, добрый день! В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22 и в соответствии с приложенной служебной запиской, прошу Вас создать мне учетную запись на портале в единая почтовая система, почта @str.mos.ru.. Спасибо!",1
"Пользователь Микутра Яна Васильевна хотел бы отозвать сообщение, ""Список активных учетных записей единая почтовая система"".",2
"Добрый день! Мне необходимо восстановить доступ к почте @str.mos.ru   С уважением, Костюченко К.Е.",3
"Восстановить пароль единая почтовая система Фролов П,А.",3
"восстановление почтового ящика. Доброе утро! Прошу восстановить ранее подключенную почту ChebinaAV@str.mos.ru  С уважением,",3
заменить сборник отходов аппарат Xerox AltaLik C8035,4
ЕПС,3
"Внешняя почта. Здравствуйте! Необходимо изменить пароль для внешней почты, т.к. он был введен на русском.",3
RE: #600-267647: Программное обеспечение PrinCe (ПО CHC CGO 2.0 RTK),3
"Учетные данные ЕПС для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (ЕПС, почта @str.mos.ru) следующим работникам:  | п/п | ФИО | Табельный номер | | 1 | Кравцов Дмитрий Александрович  | 2025 | | 2 | Плетнев Александр Васильевич  | 165  | | 3 | Плетнев Василий Алексеевич  | 361  | | 4 | Ицков Артем Анатольевич  | 182  | | 5 | Русаков Николай Павлович  | 2641  | | 6 | Кузнецов Александр Иванович  | 1202  |",1
Добрый день. Мне необходимо восстановить доступ к @str.mos.ru,2
Проблема в работе PlanTracer,2
"Восстановить пароль ЕПС Фролов П,А.",3
пароль для входа в база данных. Доброе утро! Заблокировался вход в база данных. Не знаю какой пароль. Телефон  Дарья,1
